item_no,item,unit,category,city,price,month,year,month_year,year_label
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,155.57,1,2026,2026-01,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,229.0,2,2026,2026-02,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,250.0,3,2026,2026-03,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,204.69,4,2023,2023-04,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,165.37,5,2023,2023-05,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,135.04,6,2023,2023-06,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,118.6,7,2023,2023-07,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,105.26,8,2023,2023-08,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,103.43,9,2023,2023-09,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,85.78,10,2023,2023-10,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,85.86,11,2023,2023-11,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,84.59,12,2023,2023-12,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,84.59,1,2024,2024-01,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,119.83,2,2024,2024-02,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,155.07,3,2024,2024-03,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,153.01,4,2024,2024-04,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,123.7,5,2024,2024-05,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,131.29,6,2024,2024-06,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,129.61,7,2024,2024-07,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,109.3,8,2024,2024-08,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,101.95,9,2024,2024-09,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,86.39,10,2024,2024-10,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,88.66,11,2024,2024-11,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,87.79,12,2024,2024-12,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,93.52,1,2025,2025-01,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,133.92,2,2025,2025-02,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,163.4,3,2025,2025-03,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,142.12,4,2025,2025-04,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Hyderabad,118.26,5,2025,2025-05,Year3
